,data_id,name,dummy_clf,dt_clf,d2v_clf,mfe_clf
0,300,isolet,0.030267840989457406,0.5237900692422823,0.9647311721846681,
0,458,analcatdata_authorship,0.34833051563820794,0.9440898844744998,0.9952451394759088,0.9952451394759088
0,469,analcatdata_dmft,0.1944889937106918,0.20330974842767296,0.2171698113207547,0.2147012578616352
0,554,mnist_784,0.11252857142857142,0.5452857142857143,0.8491142857142856,
0,1049,pc4,0.8779221390575719,0.8751706444475827,0.9025914418867391,0.8943581415054371
0,1050,pc3,0.8976345539444581,0.8688600802818055,0.8880457933972311,0.895078643401327
0,1053,jm1,0.8065227377124484,0.805512172714745,0.810289389067524,0.8096463022508038
0,1063,kc2,0.7950549450549451,0.7064835164835165,0.8294139194139195,0.8255860805860806
0,1067,kc1,0.8454210804786617,0.8402066846033479,0.8515855951188211,0.8458961398610845
0,1068,pc1,0.9305327952386777,0.910708898944193,0.9260282907341733,0.9296359708124413
0,1590,adult,0.7607182425075761,0.8476311937618111,0.8494328719044658,0.8560665982894461
0,4134,Bioresponse,0.5422583222370173,0.7563298712827342,0.7597972481136263,
0,1510,wdbc,0.6275112560161465,0.9367179009470579,0.9630957925787922,0.9578481602235678
0,1489,phoneme,0.7065124884366327,0.8171727138794671,0.814395278719978,0.814395278719978
0,1494,qsar-biodeg,0.6625592417061611,0.8104265402843602,0.8691943127962085,0.8625592417061612
0,1497,wall-robot-navigation,0.40414513686740994,0.9037825297220348,0.933837457989612,0.8808659260079974
0,1501,semeion,0.08286311389759665,0.6566412334141677,0.9541649415429507,0.9541649415429507
0,1480,ilpd,0.7135573239021515,0.6328912466843502,0.7118479221927498,0.6877984084880636
0,1485,madelon,0.4692307692307692,0.7638461538461538,0.5884615384615385,
0,1486,nomao,0.7143769041056143,0.9373857536631365,0.9603946032206586,
0,1487,ozone-level-8hr,0.9368563432108583,0.92659213696003,0.9443529714432725,0.9368555636114164
0,1468,cnae-9,0.08333333333333333,0.46759259259259256,0.8444444444444444,0.9259259259259259
0,1475,first-order-theorem-proving,0.4174600120778756,0.4290730764914306,0.5778059683944441,0.5302410498132205
0,1462,banknote-authentication,0.5554346383543464,0.9650139349701394,1.0,0.9883397478433975
0,1464,blood-transfusion-service-center,0.7619686800894854,0.7607158836689039,0.7753199105145414,0.7217986577181208
0,4534,PhishingWebsites,0.5569425599276345,0.9212121212121213,0.9515151515151515,0.9684305744007238
0,6332,cylinder-bands,0.5777777777777778,0.687037037037037,0.7,0.7851851851851851
0,1461,bank-marketing,0.883015134527818,0.8982326789186311,0.8988741788446525,0.9082523805564815
0,4538,GesturePhaseSegmentationProcessed,0.29879660908263117,0.49397463224449495,0.6330400010259962,0.6335461762404935
0,1478,har,0.18875535772384558,0.8877564280897975,0.9841730126322042,
0,23381,dresses-sales,0.5800000000000001,0.5740000000000001,0.576,0.5800000000000001
0,40499,texture,0.07781818181818183,0.6438181818181817,0.9896363636363636,0.9896363636363636
0,40668,connect-4,0.6583033860224585,0.6785085406584261,0.8274050059160618,
0,40966,MiceProtein,0.12962962962962962,0.7462962962962962,0.9981481481481481,0.9981481481481481
0,40982,steel-plates-fault,0.34673097818885323,0.5075358439562188,0.34724644210637906,0.40136882834654014
0,40994,climate-model-simulation-crashes,0.9148148148148147,0.9055555555555556,0.9259259259259259,0.9259259259259259
0,40983,wilt,0.9460634833813362,0.9774746382695053,0.9809883169383028,0.9797477928670935
0,40975,car,0.7002412666499119,0.859939683337522,0.9004607522828181,0.9762637178520567
0,40984,segment,0.12207792207792208,0.8329004329004329,0.903896103896104,0.8865800865800866
0,40979,mfeat-pixel,0.07450000000000001,0.8019999999999999,0.49749999999999994,0.978
0,40996,Fashion-MNIST,0.09682857142857143,0.6895285714285715,0.8924714285714286,
0,41027,jungle_chess_2pcs_raw_endgame_complete,0.5145585951228021,0.7366072494074629,0.8262121215968289,0.7235547070078322
0,23517,numerai28.6,0.505170265780731,0.5143791528239202,0.5178363787375415,
0,40923,Devnagari-Script,0.019510869565217394,0.15425,0.9465434782608696,
0,40927,CIFAR_10,0.09495,0.2602833333333333,0.5413166666666666,
0,40978,Internet-Advertisements,0.8600148948054367,0.9646229752373859,0.9637078756283746,
0,40670,dna,0.5191493235828212,0.9124314109535785,0.9607648509126342,0.962018769407932
0,40701,churn,0.8586,0.9376,0.8808,0.954
